sampleid	labtracking	scientificName	eventDate	year	month	day	startDayOfYear	lifeStage	sex	stateProvince	decimalLatitude	decimalLongitude	minimumElevationInMeters	Region	land_use_location	land_use	rain	temp
#q2:types	categorical	categorical	categorical	numerical	numerical	numerical	numerical	categorical	categorical	categorical	numerical	numerical	numerical	categorical	categorical	categorical	numerical	numerical
55	R3309	Peromyscus maniculatus	5/23/18	2018	5	23	143	adult	F	Colorado	40.473576	-103.02006	1360	west	Cultivated Crops west	Cultivated Crops	306.8200073	9.850000381
76	R3839	Peromyscus maniculatus	8/9/19	2019	8	9	221	adult	M	Colorado	40.470356	-103.01388	1358	west	Cultivated Crops west	Cultivated Crops	307.1560059	9.86000061
78	R3604	Peromyscus maniculatus	4/8/19	2019	4	8	98	adult	F	Colorado	40.462418	-103.03546	1361	west	Cultivated Crops west	Cultivated Crops	308.70401	9.86000061
79	R3200	Peromyscus maniculatus	4/9/19	2019	4	9	99	adult	F	Colorado	40.468354	-103.0135	1358	west	Cultivated Crops west	Cultivated Crops	307.1560059	9.86000061
80	R3970	Peromyscus maniculatus	6/12/19	2019	6	12	163	adult	M	Colorado	40.473576	-103.02006	1360	west	Cultivated Crops west	Cultivated Crops	306.8200073	9.850000381
81	R3928	Peromyscus maniculatus	6/11/19	2019	6	11	162	adult	M	Colorado	40.468354	-103.0135	1358	west	Cultivated Crops west	Cultivated Crops	307.1560059	9.86000061
111	R4633	Peromyscus maniculatus	8/19/20	2020	8	19	232	adult	F	Kansas	39.125776	-96.640728	329	west	Cultivated Crops west	Cultivated Crops	946.2650146	12.62000084
74	R5782	Peromyscus maniculatus	10/16/18	2018	10	16	289	adult	M	Kansas	39.216637	-96.59927	333	west	Cultivated Crops west	Cultivated Crops	764.90802	12.55000019
91	R4143	Peromyscus maniculatus	6/4/19	2019	6	4	155	adult	F	Kansas	39.216637	-96.59927	333	west	Cultivated Crops west	Cultivated Crops	764.90802	12.55000019
131	R6357	Peromyscus maniculatus	10/5/21	2021	10	5	278	adult	M	Kansas	39.216637	-96.59927	333	west	Cultivated Crops west	Cultivated Crops	764.90802	12.55000019
82	R5010	Peromyscus leucopus or maniculatus	8/7/19	2019	8	7	219	subadult	F	New Hampshire	44.05735	-71.308646	431	east	Deciduous Forest east	Deciduous Forest	1402.68103	6.580000401
66	R4347	Peromyscus maniculatus	6/14/18	2018	6	14	165	adult	F	New Hampshire	44.047478	-71.315451	580	east	Deciduous Forest east	Deciduous Forest	1429.850098	5.930000305
112	R4155	Peromyscus maniculatus	9/27/20	2020	9	27	271	adult	M	New Hampshire	44.05735	-71.308646	431	east	Deciduous Forest east	Deciduous Forest	1402.68103	6.580000401
60	R2659	Peromyscus maniculatus	10/11/18	2018	10	11	284	subadult	M	Tennessee	35.702253	-83.360191	615	east	Deciduous Forest east	Deciduous Forest	2284.87915	12.80000019
133	R1815	Peromyscus maniculatus	9/28/16	2016	9	29	273	adult	F	Tennessee	35.702253	-83.360191	615	east	Deciduous Forest east	Deciduous Forest	2284.87915	12.80000019
134	R2043	Peromyscus maniculatus	10/24/17	2017	10	24	297	adult	F	Tennessee	35.702253	-83.360191	615	east	Deciduous Forest east	Deciduous Forest	2284.87915	12.80000019
136	R2047	Peromyscus maniculatus	10/24/17	2017	10	24	297	subadult	M	Tennessee	35.702253	-83.360191	615	east	Deciduous Forest east	Deciduous Forest	2284.87915	12.80000019
94	R2755	Peromyscus maniculatus	6/13/19	2019	6	13	164	adult	M	Virginia	37.427518	-80.500559	913	east	Deciduous Forest east	Deciduous Forest	1782.84314	10.92000008
95	R3221	Peromyscus maniculatus	6/13/19	2019	6	13	164	juvenile	M	Virginia	37.427518	-80.500559	913	east	Deciduous Forest east	Deciduous Forest	1782.84314	10.92000008
99	R2302	Peromyscus maniculatus	7/17/18	2018	7	17	198	subadult	M	Virginia	37.427968	-80.511905	893	east	Deciduous Forest east	Deciduous Forest	1783.857056	11.00000095
124	R3568	Peromyscus maniculatus	4/22/21	2021	4	22	112	adult	F	Virginia	37.372601	-80.52293	1177	east	Deciduous Forest east	Deciduous Forest	1745.161133	9.540000916
68	R4494	Peromyscus maniculatus	8/1/18	2018	8	1	213	adult	F	Wisconsin	45.810968	-90.091985	508	east	Deciduous Forest east	Deciduous Forest	953.3760376	4.880000114
69	R4721	Peromyscus maniculatus	8/1/18	2018	8	1	213	adult	F	Wisconsin	45.810968	-90.091985	508	east	Deciduous Forest east	Deciduous Forest	953.3760376	4.880000114
77	R5463	Peromyscus maniculatus	8/23/19	2019	8	23	235	adult	M	Wisconsin	45.784603	-90.048055	511	east	Deciduous Forest east	Deciduous Forest	915.5580444	4.870000362
